"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Titre scolaire";"Domaine d'études";"Genre";"Groupe d'âge";"Statut de l’étudiant au Canada";"Caractéristiques après l’obtention du titre scolaire";"Statistiques des diplômés";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2012";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021056";"1.3.50.2.1.1.4.2";"63400";"";"";"";"0"
"2013";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021056";"1.3.50.2.1.1.4.2";"63900";"";"";"";"0"
"2014";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021056";"1.3.50.2.1.1.4.2";"57200";"";"";"";"0"
"2015";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021056";"1.3.50.2.1.1.4.2";"58200";"";"";"";"0"
"2016";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021056";"1.3.50.2.1.1.4.2";"58700";"";"";"";"0"
"2017";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021056";"1.3.50.2.1.1.4.2";"58200";"";"";"";"0"
"2018";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021056";"1.3.50.2.1.1.4.2";"57200";"";"";"";"0"
"2010";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transport [11]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021244";"1.3.56.2.1.1.4.1";"1220";"";"";"";"0"
"2011";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transport [11]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021244";"1.3.56.2.1.1.4.1";"1620";"";"";"";"0"
"2012";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transport [11]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021244";"1.3.56.2.1.1.4.1";"1420";"";"";"";"0"
"2013";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transport [11]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021244";"1.3.56.2.1.1.4.1";"1340";"";"";"";"0"
"2014";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transport [11]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021244";"1.3.56.2.1.1.4.1";"2360";"";"";"";"0"
"2015";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transport [11]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021244";"1.3.56.2.1.1.4.1";"2270";"";"";"";"0"
"2016";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transport [11]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021244";"1.3.56.2.1.1.4.1";"2200";"";"";"";"0"
"2017";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transport [11]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021244";"1.3.56.2.1.1.4.1";"2450";"";"";"";"0"
"2018";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transport [11]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021244";"1.3.56.2.1.1.4.1";"2100";"";"";"";"0"
"2010";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transport [11]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021245";"1.3.56.2.1.1.4.2";"67900";"";"";"";"0"
"2011";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transport [11]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021245";"1.3.56.2.1.1.4.2";"55300";"";"";"";"0"
"2012";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transport [11]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021245";"1.3.56.2.1.1.4.2";"54700";"";"";"";"0"
"2013";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transport [11]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021245";"1.3.56.2.1.1.4.2";"60900";"";"";"";"0"
"2014";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transport [11]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021245";"1.3.56.2.1.1.4.2";"55400";"";"";"";"0"
"2015";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transport [11]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021245";"1.3.56.2.1.1.4.2";"53800";"";"";"";"0"
"2016";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transport [11]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021245";"1.3.56.2.1.1.4.2";"57900";"";"";"";"0"
"2017";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transport [11]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021245";"1.3.56.2.1.1.4.2";"61000";"";"";"";"0"
"2018";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transport [11]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021245";"1.3.56.2.1.1.4.2";"58900";"";"";"";"0"
"2014";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Autres programmes d’enseignement [12]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021427";"1.3.62.2.1.1.4.1";"20";"";"";"";"0"
"2015";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Autres programmes d’enseignement [12]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021427";"1.3.62.2.1.1.4.1";"0";"";"";"";"0"
"2014";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Autres programmes d’enseignement [12]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021428";"1.3.62.2.1.1.4.2";"";"x";"";"";"0"
"2015";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Autres programmes d’enseignement [12]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021428";"1.3.62.2.1.1.4.2";"";"x";"";"";"0"
"2010";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021601";"1.4.1.2.1.1.4.1";"12810";"";"";"";"0"
"2011";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021601";"1.4.1.2.1.1.4.1";"15230";"";"";"";"0"
"2012";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021601";"1.4.1.2.1.1.4.1";"15940";"";"";"";"0"
"2013";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021601";"1.4.1.2.1.1.4.1";"16390";"";"";"";"0"
"2014";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021601";"1.4.1.2.1.1.4.1";"38150";"";"";"";"0"
"2015";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021601";"1.4.1.2.1.1.4.1";"39020";"";"";"";"0"
"2016";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021601";"1.4.1.2.1.1.4.1";"41600";"";"";"";"0"
"2017";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021601";"1.4.1.2.1.1.4.1";"42650";"";"";"";"0"
"2018";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021601";"1.4.1.2.1.1.4.1";"45620";"";"";"";"0"
"2010";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021602";"1.4.1.2.1.1.4.2";"66500";"";"";"";"0"
"2011";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021602";"1.4.1.2.1.1.4.2";"63800";"";"";"";"0"
"2012";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021602";"1.4.1.2.1.1.4.2";"64600";"";"";"";"0"
"2013";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021602";"1.4.1.2.1.1.4.2";"64400";"";"";"";"0"
"2014";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021602";"1.4.1.2.1.1.4.2";"60900";"";"";"";"0"
"2015";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021602";"1.4.1.2.1.1.4.2";"60100";"";"";"";"0"
"2016";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021602";"1.4.1.2.1.1.4.2";"61800";"";"";"";"0"
"2017";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021602";"1.4.1.2.1.1.4.2";"61600";"";"";"";"0"
"2018";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021602";"1.4.1.2.1.1.4.2";"61800";"";"";"";"0"
"2010";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028666";"1.4.2.2.1.1.4.1";"300";"";"";"";"0"
"2011";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028666";"1.4.2.2.1.1.4.1";"260";"";"";"";"0"
"2012";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028666";"1.4.2.2.1.1.4.1";"290";"";"";"";"0"
"2013";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028666";"1.4.2.2.1.1.4.1";"280";"";"";"";"0"
"2014";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028666";"1.4.2.2.1.1.4.1";"280";"";"";"";"0"
"2015";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028666";"1.4.2.2.1.1.4.1";"310";"";"";"";"0"
"2016";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028666";"1.4.2.2.1.1.4.1";"330";"";"";"";"0"
"2017";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028666";"1.4.2.2.1.1.4.1";"330";"";"";"";"0"
"2018";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028666";"1.4.2.2.1.1.4.1";"350";"";"";"";"0"
"2010";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664028667";"1.4.2.2.1.1.4.2";"72400";"";"";"";"0"
"2011";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664028667";"1.4.2.2.1.1.4.2";"64500";"";"";"";"0"
"2012";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664028667";"1.4.2.2.1.1.4.2";"69900";"";"";"";"0"
"2013";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664028667";"1.4.2.2.1.1.4.2";"62900";"";"";"";"0"
"2014";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664028667";"1.4.2.2.1.1.4.2";"60100";"";"";"";"0"
"2015";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664028667";"1.4.2.2.1.1.4.2";"62600";"";"";"";"0"
"2016";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664028667";"1.4.2.2.1.1.4.2";"58800";"";"";"";"0"
"2017";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664028667";"1.4.2.2.1.1.4.2";"63100";"";"";"";"0"
"2018";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664028667";"1.4.2.2.1.1.4.2";"62000";"";"";"";"0"
"2010";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Arts visuels et d’interprétation, et technologie des communications [2]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028854";"1.4.4.2.1.1.4.1";"680";"";"";"";"0"
"2011";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Arts visuels et d’interprétation, et technologie des communications [2]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028854";"1.4.4.2.1.1.4.1";"900";"";"";"";"0"
"2012";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Arts visuels et d’interprétation, et technologie des communications [2]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028854";"1.4.4.2.1.1.4.1";"810";"";"";"";"0"
"2013";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Arts visuels et d’interprétation, et technologie des communications [2]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028854";"1.4.4.2.1.1.4.1";"960";"";"";"";"0"
"2014";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Arts visuels et d’interprétation, et technologie des communications [2]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028854";"1.4.4.2.1.1.4.1";"2170";"";"";"";"0"
"2015";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Arts visuels et d’interprétation, et technologie des communications [2]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028854";"1.4.4.2.1.1.4.1";"2280";"";"";"";"0"
"2016";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Arts visuels et d’interprétation, et technologie des communications [2]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028854";"1.4.4.2.1.1.4.1";"2410";"";"";"";"0"
"2017";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Arts visuels et d’interprétation, et technologie des communications [2]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028854";"1.4.4.2.1.1.4.1";"2250";"";"";"";"0"
"2018";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Arts visuels et d’interprétation, et technologie des communications [2]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028854";"1.4.4.2.1.1.4.1";"2250";"";"";"";"0"
"2010";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Arts visuels et d’interprétation, et technologie des communications [2]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664028855";"1.4.4.2.1.1.4.2";"43500";"";"";"";"0"
"2011";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Arts visuels et d’interprétation, et technologie des communications [2]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664028855";"1.4.4.2.1.1.4.2";"44600";"";"";"";"0"
"2012";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Arts visuels et d’interprétation, et technologie des communications [2]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664028855";"1.4.4.2.1.1.4.2";"43500";"";"";"";"0"
"2013";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Arts visuels et d’interprétation, et technologie des communications [2]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664028855";"1.4.4.2.1.1.4.2";"43200";"";"";"";"0"
"2014";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Arts visuels et d’interprétation, et technologie des communications [2]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664028855";"1.4.4.2.1.1.4.2";"42100";"";"";"";"0"
