"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Titre scolaire";"Domaine d'études";"Genre";"Groupe d'âge";"Statut de l’étudiant au Canada";"Caractéristiques après l’obtention du titre scolaire";"Statistiques des diplômés";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2016";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664012114";"1.3.1.2.1.1.4.2";"57200";"";"";"";"0"
"2017";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664012114";"1.3.1.2.1.1.4.2";"57200";"";"";"";"0"
"2018";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Total, domaine d'études";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664012114";"1.3.1.2.1.1.4.2";"57400";"";"";"";"0"
"2010";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664019355";"1.3.2.2.1.1.4.1";"90";"";"";"";"0"
"2011";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664019355";"1.3.2.2.1.1.4.1";"100";"";"";"";"0"
"2012";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664019355";"1.3.2.2.1.1.4.1";"100";"";"";"";"0"
"2013";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664019355";"1.3.2.2.1.1.4.1";"100";"";"";"";"0"
"2014";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664019355";"1.3.2.2.1.1.4.1";"140";"";"";"";"0"
"2015";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664019355";"1.3.2.2.1.1.4.1";"100";"";"";"";"0"
"2016";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664019355";"1.3.2.2.1.1.4.1";"110";"";"";"";"0"
"2017";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664019355";"1.3.2.2.1.1.4.1";"150";"";"";"";"0"
"2018";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664019355";"1.3.2.2.1.1.4.1";"140";"";"";"";"0"
"2010";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664019356";"1.3.2.2.1.1.4.2";"50300";"";"";"";"0"
"2011";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664019356";"1.3.2.2.1.1.4.2";"42300";"";"";"";"0"
"2012";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664019356";"1.3.2.2.1.1.4.2";"50800";"";"";"";"0"
"2013";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664019356";"1.3.2.2.1.1.4.2";"47700";"";"";"";"0"
"2014";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Éducation [1]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664019356";"1.3.2.2.1.1.4.2";"50100";"";"";"";"0"
